stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url
WORTH, Worth, , 41.6913889, -87.7958333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.WORTH.html
CHICRIDGE, Chicago Ridge, , 41.7033333, -87.7802778, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.CHICRIDGE.html
OAKLAWN, Oak Lawn, , 41.7194444, -87.7486111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.OAKLAWN.html
ASHBURN, Ashburn, , 41.7416667, -87.7125000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.ASHBURN.html
WRIGHTWOOD, Wrightwood, , 41.7488889, -87.7036111, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.WRIGHTWOOD.html
CLYBOURN, Clybourn, , 41.9169444, -87.6680556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.CLYBOURN.html
RAVENSWOOD, Ravenswood, , 41.9683333, -87.6744444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.RAVENSWOOD.html
ROGERPK, Rogers Park, , 42.0094444, -87.6755556, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.ROGERPK.html
MAINST, Main St., , 42.0333333, -87.6800000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.MAINST.html
EVANSTON, Evanston (Davis St.), , 42.0480556, -87.6847222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.EVANSTON.html
CENTRALST, Central St., , 42.0641667, -87.6980556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.CENTRALST.html
WILMETTE, Wilmette, , 42.0772222, -87.7091667, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.WILMETTE.html
KENILWORTH, Kenilworth, , 42.0863889, -87.7166667, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.KENILWORTH.html
WINNETKA, Winnetka, , 42.1052778, -87.7327778, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.WINNETKA.html
HUBARDWOOD, Hubbard Woods, , 42.1180556, -87.7436111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.HUBARDWOOD.html
GLENCOE, Glencoe, , 42.1355556, -87.7580556, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.GLENCOE.html
BRAESIDE, Braeside, , 42.1527778, -87.7725000, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.BRAESIDE.html
RAVINIA, Ravinia, , 42.1650000, -87.7827778, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.RAVINIA.html
HIGHLANDPK, Highland Park, , 42.1833333, -87.7975000, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.HIGHLANDPK.html
HIGHWOOD, Highwood, , 42.2033333, -87.8105556, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.HIGHWOOD.html
FTSHERIDAN, Fort Sheridan, , 42.2175000, -87.8208333, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.FTSHERIDAN.html
LKFOREST, Lake Forest., , 42.2525000, -87.8397222, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.LKFOREST.html
LAKEBLUFF, Lake Bluff, , 42.2797222, -87.8466667, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.LAKEBLUFF.html
GRTLAKES, Great Lakes, , 42.3069444, -87.8463889, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.GRTLAKES.html
NCHICAGO, North Chicago, , 42.3286111, -87.8369444, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.NCHICAGO.html
WAUKEGAN, Waukegan, , 42.3605556, -87.8283333, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.WAUKEGAN.html
ZION, Zion, , 42.4491667, -87.8180556, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.ZION.html
WINTHROP, Winthrop Harbor, , 42.4827778, -87.8161111, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.WINTHROP.html
FOXLAKE, Fox Lake, , 42.3983333, -88.1822222, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.FOXLAKE.html
INGLESIDE, Ingleside, , 42.3838889, -88.1536111, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.INGLESIDE.html
LONGLAKE, Long Lake, , 42.3680556, -88.1280556, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LONGLAKE.html
ROUNDLAKE, Round Lake, , 42.3544444, -88.0941667, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.ROUNDLAKE.html
GRAYSLAKE, Grayslake, , 42.3336111, -88.0433333, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GRAYSLAKE.html
LIBERTYVIL, Libertyville, , 42.2911111, -87.9563889, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LIBERTYVIL.html
LAKEFRST, Lake Forest, , 42.2236111, -87.8747222, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LAKEFRST.html
DEERFIELD, Deerfield, , 42.1680556, -87.8500000, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.DEERFIELD.html
LAKECOOKRD, Lake-Cook, , 42.1516667, -87.8413889, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LAKECOOKRD.html
NBROOK, Northbrook, , 42.1269444, -87.8277778, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.NBROOK.html
NGLENVIEW, Glen/N. Glenview, , 42.0975000, -87.8158333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.NGLENVIEW.html
GLENVIEW, Glenview, , 42.0750000, -87.8055556, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GLENVIEW.html
GOLF, Golf, , 42.0583333, -87.7969444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GOLF.html
MORTONGRV, Morton Grove, , 42.0350000, -87.7852778, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.MORTONGRV.html
EDGEBROOK, Edgebrook, , 41.9977778, -87.7655556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.EDGEBROOK.html
FORESTGLEN, Forest Glen, , 41.9780556, -87.7555556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.FORESTGLEN.html
MAYFAIR, Mayfair, , 41.9597222, -87.7458333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.MAYFAIR.html
GRAYLAND, Grayland, , 41.9488889, -87.7402778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GRAYLAND.html
HEALY, Healy, , 41.9247222, -87.7277778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.HEALY.html
WESTERNAVE, Western Ave, , 41.8891667, -87.6880556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.WESTERNAVE.html
RAVINIAPK, Ravinia Park, , 42.1580556, -87.7769444, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.RAVINIAPK.html
INDIANHILL, Indian Hill, , 42.0944444, -87.7238889, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.INDIANHILL.html
KENOSHA, Kenosha, , 42.5858333, -87.8258333, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.KENOSHA.html
HARVARD, Harvard, , 42.4197222, -88.6175000, M, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.HARVARD.html
WOODSTOCK, Woodstock, , 42.3169444, -88.4475000, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.WOODSTOCK.html
CRYSTAL, Crystal Lake, , 42.2441667, -88.3172222, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.CRYSTAL.html
MCHENRY, McHenry, , 42.3433333, -88.2761111, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.MCHENRY.html
CARY, Cary, , 42.2088889, -88.2413889, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.CARY.html
FOXRG, Fox River Grove, , 42.1977778, -88.2194444, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.FOXRG.html
